user_id,state_code,age,sex,race_ethnicity,party,is_supersharer,is_superconsumer,tweetsDuringStudy,total_exposures,n_exp,total_shares,n_share
2690065,CO,37.8,Male,Caucasian,Democrat,FALSE,FALSE,1499,5632,22,57,1
3191328,CO,48.9,Male,Caucasian,Independent,FALSE,FALSE,514,16650,64,26,1
3449675,CO,44.3,Female,Caucasian,Independent,FALSE,FALSE,90,952,2,1,1
559247,CT,72.9,Female,Caucasian,Democrat,FALSE,FALSE,35,1772,0,14,5
1383899,CT,61.3,Female,Caucasian,Republican,FALSE,FALSE,72,4018,1379,11,3
568511,CT,31.2,Male,Caucasian,Democrat,FALSE,TRUE,5192,62364,1814,99,2
3042360,CT,74.3,Female,Caucasian,Other,FALSE,FALSE,254,1016,19,3,1
3236985,CT,60.6,Male,Caucasian,Democrat,FALSE,TRUE,794,140224,5210,49,1
496119,DC,39.8,Female,Caucasian,Republican,FALSE,TRUE,1562,45106,1426,78,2
1186197,DE,32.9,Male,Caucasian,Republican,FALSE,FALSE,2077,202,18,10,1
2944187,FL,73.2,Female,Caucasian,Republican,TRUE,TRUE,9241,1155320,241386,2453,908
856145,FL,65.1,Male,Caucasian,Independent,FALSE,FALSE,902,1363,150,134,29
836568,FL,53.1,Female,Caucasian,Democrat,FALSE,TRUE,1388,67987,2616,258,27
1310203,FL,44.6,Male,Caucasian,Democrat,FALSE,FALSE,454,37327,3571,117,25
1744526,FL,61.6,Male,Caucasian,Republican,FALSE,FALSE,2101,3047,54,276,12
1897815,FL,57.3,Male,Hispanic,Independent,FALSE,TRUE,1197,227348,40415,66,7
52632,FL,27.3,Male,Caucasian,Democrat,FALSE,FALSE,1184,5621,1108,58,5
72272,FL,50.2,Female,Caucasian,Republican,FALSE,FALSE,65,2188,143,4,4
3340985,FL,52.6,Male,Other,Republican,FALSE,TRUE,240,238385,39681,12,3
605999,FL,61.4,Female,Caucasian,Democrat,FALSE,FALSE,2,2841,46,2,2
1349995,FL,54.2,Male,Caucasian,Democrat,FALSE,TRUE,1097,112662,2443,65,2
1014370,FL,65.2,Male,Caucasian,Democrat,FALSE,FALSE,1216,6246,33,60,1
1194372,FL,57.2,Female,Caucasian,Republican,FALSE,FALSE,60,6695,76,1,1
2668936,FL,55,Female,Caucasian,No Party/No Info,FALSE,FALSE,885,6245,5,12,1
2894240,FL,32.8,Male,Caucasian,Republican,FALSE,FALSE,92,2675,433,1,1
3144534,FL,52.1,Female,Hispanic,Republican,FALSE,FALSE,39,3572,4,5,1
3171775,FL,57.8,Female,Caucasian,Republican,FALSE,FALSE,24,164,0,1,1
282023,GA,66.4,Female,Caucasian,No Party/No Info,TRUE,TRUE,18514,440129,77444,2326,526
2025559,GA,47.5,Female,Caucasian,No Party/No Info,TRUE,FALSE,15070,42483,1489,2340,87
1546256,GA,69,Male,Caucasian,No Party/No Info,FALSE,FALSE,1244,15848,1605,54,25
286883,GA,43.6,Female,Caucasian,No Party/No Info,FALSE,TRUE,2796,103664,17849,184,20
